"# Import the test cases you want to use to test your agent"
"#"
"# Limitations"
"# - maximum of 100 questions"
"# - maximum 500 characters per question including spaces"
"#"
"# Imported columns"
"# question - User question that the agent will answer."
"# expectedResponse - Expected responses to run match, similarity and compare meaning test cases."
"#"
"# Test methods"
"# - Test methods are not included in this template. You can configure test methods after importing the test cases."
"# - Initially, the default test method will be added to the imported test set."
"#"
"# For more information, see the documentation."
"#"
"question","expectedResponse"
"What are the main symptoms of COVID-19 and how long after exposure do they typically appear?","Fever, fatigue, cough, breathing difficulties, loss of smell, and loss of taste; symptoms typically begin 1 to 14 days after exposure."
"What complications can COVID-19 cause in the cardiovascular system?","Heart failure, arrhythmias, heart inflammation, thrombosis, and endothelial injury or dysfunction."
"How is COVID-19 transmitted between people?","By inhaling infectious particles or by touching the eyes, nose, or mouth after contact with contaminated surfaces; risk is highest in close proximity, especially indoors."
"What is the difference between Type 1 and Type 2 diabetes?","Type 1 is an autoimmune loss of insulin-producing beta cells causing severe insulin deficiency; Type 2 is insulin resistance where cells do not respond effectively to insulin."
"What are the long-term complications associated with diabetes?","Cardiovascular disease, stroke, peripheral artery disease, retinopathy, kidney disease, neuropathy, diabetic foot problems, hearing loss, and cognitive decline or dementia."
"What is a stock exchange and what purpose does it serve?","A marketplace where stocks and other securities are bought and sold; it provides liquidity, trading information, and price discovery."
"How does the NASDAQ differ from the New York Stock Exchange in terms of trading mechanism?","NASDAQ is an electronic exchange using computer networks and market makers, while NYSE is a physical exchange with a hybrid floor and electronic market."
"What is cryptocurrency and how does blockchain technology enable it?","Cryptocurrency is digital currency that does not rely on a central authority; blockchain is the distributed digital ledger and consensus system that records ownership and verifies transfers."
"What was the total market capitalization of all publicly traded stocks worldwide by end of 2023?","US$111 trillion."
"What role do market makers play in stock exchanges?","They maintain a two-sided market by continuously quoting bid and ask prices and providing liquidity when buyers or sellers are missing."
"What are the primary human activities driving climate change?","Burning fossil fuels, deforestation, and some agricultural and industrial practices that release greenhouse gases."
"How has carbon dioxide concentration changed since the pre-industrial era?","It has increased by about 50% since the pre-industrial era to levels not seen for millions of years."
"What are the main renewable energy sources that can replace fossil fuels?","Wind, solar, hydropower, bioenergy, and geothermal power are the main renewable sources; nuclear power is also mentioned as a low-carbon alternative."
"What environmental impacts has climate change caused in the Arctic?","Thawing permafrost, retreating glaciers, and declining sea ice."
"What is the Paris Agreement and what temperature target did nations agree to?","A 2015 climate agreement in which nations agreed to keep warming well under 2°C."
"Who founded the International Olympic Committee and when were the first modern Olympics held?","Baron Pierre de Coubertin founded the IOC in 1894, and the first modern Olympics were held in Athens in 1896."
"How have the Olympic Games evolved since their ancient origins in Greece?","They evolved from ancient religious and athletic festivals in Olympia into a global event with Summer and Winter Games, Paralympics, Youth Olympics, and participation by professional athletes."
"What caused the cancellation or postponement of Olympic Games throughout history?","World Wars I and II cancelled the 1916, 1940, and 1944 Olympics, and COVID-19 restrictions postponed the 2020 Olympics to 2021."
"What is the FIFA World Cup and how often is it held?","An international men's national-team football tournament organized by FIFA, held every four years except in 1942 and 1946 due to World War II."
"What were the ancient Olympic Games and where were they held?","Religious and athletic festivals held every four years at the sanctuary of Zeus in Olympia, Greece."
"How did the COVID-19 pandemic affect the Olympic Games?","The 2020 Olympics were postponed until 2021 because of COVID-19 restrictions."
"What role do international organizations like the WHO play in addressing both health crises and climate change?","The WHO standardized COVID-19 naming and public communication, and it identifies climate change as one of the biggest threats to global health in the 21st century."
"How has climate change been linked to the emergence of diseases like COVID-19?","Climate change, natural ecosystem destruction, and wildlife trade increase the likelihood of zoonotic spillover into human populations."
"What economic impacts do major global events (pandemics, Olympics) have on stock markets?","They can create economic loss or benefits and challenges; pandemics drive economic loss, while hosting the Olympics can affect infrastructure, tourism, and local communities, which can influence markets indirectly."
"What preventive measures are recommended for both COVID-19 and climate change?","For COVID-19: vaccination, physical distancing, wearing masks, ventilating indoor spaces, and hand washing; for climate change: phase out fossil fuels, conserve energy, and switch to low-carbon energy such as wind, solar, hydro, and nuclear power."
